Number of Cases,Street Address,Latitude,Longitude,Cluster Number,Recent Cases in Cluster,Total Cases in Cluster,Date,Month Number
11,goodlink park,1.38159451793256,103.885209972539,1,8,24,08/08/2021,8
3,jalan mata ayer,1.42756202366437,103.826112602001,1,8,24,08/08/2021,8
5,platina road,1.3682399094409,103.888940713812,1,8,24,08/08/2021,8
5,sembawang road,1.38168746675049,103.884323802695,1,8,24,08/08/2021,8
1,buangkok green,1.3135755760062,103.907322802774,2,1,4,08/08/2021,8
3,buangkok view,1.42704969988725,103.825396562582,2,1,4,08/08/2021,8
2,holland close(blk 1),1.31040649108197,103.799175818498,3,4,4,08/08/2021,8
1,jalan hitam manis,1.35474706561703,103.868731989138,3,4,4,08/08/2021,8
1,jalan kelabu asap,1.42547005593325,103.824969746542,3,4,4,08/08/2021,8
4,pasir ris grove(coco palms),1.39706271823612,103.818803914388,4,2,4,08/08/2021,8
3,serangoon avenue 2(blk 232a),1.37150158736384,103.945323459304,5,1,4,08/08/2021,8
1,serangoon avenue 3(blk 232),1.35425419082461,103.868542956652,5,1,4,08/08/2021,8
3,lorong 5 realty park,1.30921937771543,103.796732386696,6,2,3,08/08/2021,8
2,lorong j telok kurau,1.31266290803793,103.911509004252,7,1,3,08/08/2021,8
1,lorong k telok kurau(the cristallo),1.42502761147103,103.825543121811,7,1,3,08/08/2021,8
3,thong soon avenue,1.3115795112278,103.798967083443,8,3,3,08/08/2021,8
1,boon lay drive(blk 188),1.31644975474134,103.832130325138,9,1,2,08/08/2021,8
1,boon lay drive(blk 191),1.34376568912059,103.712164032913,9,1,2,08/08/2021,8
1,bukit timah road(rich mansions),1.34381009067475,103.710990466041,10,1,2,08/08/2021,8
1,ewe boon road(palm spring),1.31734400609436,103.83355760809,10,1,2,08/08/2021,8
1,chai chee drive(blk 56),1.29956534638358,103.839808458723,11,2,2,08/08/2021,8
1,chai chee road(blk 59),1.36617841606997,103.97602752707,11,2,2,08/08/2021,8
1,chin swee road(blk 52),1.32635040550492,103.920064202822,12,2,2,08/08/2021,8
1,pearl's hill terrace,1.31997545891749,103.824304362753,12,2,2,08/08/2021,8
1,killiney road,1.32084379385904,103.823206216568,13,1,2,08/08/2021,8
1,lloyd road,1.36102172564014,103.958601393368,13,1,2,08/08/2021,8
1,lewis road,1.30634552691514,103.858739925463,14,2,2,08/08/2021,8
1,margoliouth road(chatelet),1.30758230206089,103.858967398343,14,2,2,08/08/2021,8
1,maude road(blk 1),1.32488916644196,103.920246730461,15,2,2,08/08/2021,8
1,syed alwi road,1.36191017207462,103.958666733427,15,2,2,08/08/2021,8
1,tampines street 45(blk 498b),1.28293572907084,103.840927188247,16,2,2,08/08/2021,8
1,tampines street 45(blk 498f),1.30702756018287,103.855527541511,16,2,2,08/08/2021,8
1,veerasamy road(blk 633),1.36270126451482,103.887027478789,17,1,2,08/08/2021,8
1,veerasamy road(blk 637),1.36564903485076,103.888263962373,17,1,2,08/08/2021,8
23,florence road,1.36596036769891,103.888646476566,1,17,198,27/10/2021,10
48,hougang avenue 2,1.36669418462152,103.88909314947,1,17,198,27/10/2021,10
2,hougang avenue 2(blk 701),1.36575849509964,103.889720136349,1,17,198,27/10/2021,10
2,hougang avenue 2(blk 702),1.36627946045205,103.888808928523,1,17,198,27/10/2021,10
4,hougang avenue 2(blk 705),1.36633863241362,103.887775178341,1,17,198,27/10/2021,10
6,hougang avenue 2(blk 706),1.36665848886669,103.88791702948,1,17,198,27/10/2021,10
9,hougang avenue 2(blk 707),1.36623062817709,103.884019266073,1,17,198,27/10/2021,10
6,hougang avenue 2(blk 708),1.36706142659908,103.888077255516,1,17,198,27/10/2021,10
12,hougang avenue 2(blk 709),1.36588222148307,103.887387054385,1,17,198,27/10/2021,10
16,hougang avenue 2(blk 710),1.36328056536711,103.887754376128,1,17,198,27/10/2021,10
16,hougang avenue 2(blk 711),1.36584849907494,103.884856327883,1,17,198,27/10/2021,10
20,hougang avenue 2(blk 712),1.36692265594287,103.881592951512,1,17,198,27/10/2021,10
11,jalan arif,1.36353999955579,103.884509670141,1,17,198,27/10/2021,10
16,jalan tani,1.36027320517183,103.885004583147,1,17,198,27/10/2021,10
1,lim ah pin road,1.38476706087905,103.895957786939,1,17,198,27/10/2021,10
1,poh huat road,1.38545544642334,103.894490395737,1,17,198,27/10/2021,10
2,simon place,1.37851898360363,103.749630691351,1,17,198,27/10/2021,10
3,upper serangoon road,1.3626577042511,103.891921506467,1,17,198,27/10/2021,10
2,compassvale link(blk 268c),1.38526180662915,103.893959317126,2,3,8,27/10/2021,10
2,sengkang central(blk 271b),1.38427332655847,103.893821005371,2,3,8,27/10/2021,10
1,sengkang central(blk 272a),1.37975664367524,103.748749195334,2,3,8,27/10/2021,10
1,sengkang central(blk 272b),1.36382073428889,103.889572770625,2,3,8,27/10/2021,10
2,sengkang central(blk 272c),1.28708278284998,103.841580109275,2,3,8,27/10/2021,10
1,choa chu kang central(blk 205),1.36378961600309,103.891813266061,3,2,3,27/10/2021,10
1,choa chu kang central(blk 235),1.41541410290557,103.824916704678,3,2,3,27/10/2021,10
1,teck whye lane(blk 122),1.37097387546861,103.88592514857,3,2,3,27/10/2021,10
1,hougang avenue 3(blk 15),1.3502542591897,103.887795306397,4,3,3,27/10/2021,10
1,hougang avenue 3(blk 19),1.35046468321696,103.886509352895,4,3,3,27/10/2021,10
1,hougang street 31(blk 370),1.37345331724801,103.877373281034,4,3,3,27/10/2021,10
3,hougang avenue 4(blk 604),1.36868496277618,103.884309433634,5,2,3,27/10/2021,10
2,chencharu link,1.37356291019462,103.879184657596,6,1,2,27/10/2021,10
1,hougang avenue 1(blk 165),1.30570669675965,103.854943251549,7,2,2,27/10/2021,10
1,lorong ah soo(blk 134),1.34256782159011,103.689149776097,7,2,2,27/10/2021,10
1,hougang street 92(blk 941),1.34234942956379,103.690874115788,8,1,2,27/10/2021,10
1,yio chu kang road(hundred palms residences),1.3105579884697,103.904373162305,8,1,2,27/10/2021,10
1,jurong west street 91(blk 936),1.3117385320529,103.905129426291,9,2,2,27/10/2021,10
1,jurong west street 91(blk 953),1.36548398291324,103.890200268843,9,2,2,27/10/2021,10
1,rambai road,1.36553095979945,103.889460635529,10,2,2,27/10/2021,10
1,teng tong road,1.36212798614016,103.883840275982,10,2,2,27/10/2021,10
1,da silva lane,1.36603046151961,103.893810211771,1,2,221,03/12/2021,12
28,florence road,1.36596036769891,103.888646476566,1,2,221,03/12/2021,12
48,hougang avenue 2,1.36669418462152,103.88909314947,1,2,221,03/12/2021,12
2,hougang avenue 2(blk 701),1.36575849509964,103.889720136349,1,2,221,03/12/2021,12
2,hougang avenue 2(blk 702),1.36627946045205,103.888808928523,1,2,221,03/12/2021,12
1,hougang avenue 2(blk 703),1.36546009765406,103.894248890923,1,2,221,03/12/2021,12
5,hougang avenue 2(blk 705),1.36633863241362,103.887775178341,1,2,221,03/12/2021,12
6,hougang avenue 2(blk 706),1.36665848886669,103.88791702948,1,2,221,03/12/2021,12
10,hougang avenue 2(blk 707),1.36623062817709,103.884019266073,1,2,221,03/12/2021,12
6,hougang avenue 2(blk 708),1.36706142659908,103.888077255516,1,2,221,03/12/2021,12
12,hougang avenue 2(blk 709),1.36588222148307,103.887387054385,1,2,221,03/12/2021,12
16,hougang avenue 2(blk 710),1.36328056536711,103.887754376128,1,2,221,03/12/2021,12
17,hougang avenue 2(blk 711),1.36584849907494,103.884856327883,1,2,221,03/12/2021,12
20,hougang avenue 2(blk 712),1.36692265594287,103.881592951512,1,2,221,03/12/2021,12
12,jalan arif,1.36353999955579,103.884509670141,1,2,221,03/12/2021,12
19,jalan tani,1.36027320517183,103.885004583147,1,2,221,03/12/2021,12
1,lim ah pin road,1.38476706087905,103.895957786939,1,2,221,03/12/2021,12
8,poh huat road,1.38545544642334,103.894490395737,1,2,221,03/12/2021,12
1,simon lane,1.36521740546842,103.894771265948,1,2,221,03/12/2021,12
3,simon place,1.37851898360363,103.749630691351,1,2,221,03/12/2021,12
3,upper serangoon road,1.3626577042511,103.891921506467,1,2,221,03/12/2021,12
2,hai sing road,1.36497584742043,103.896809883055,2,3,8,03/12/2021,12
2,hougang avenue 5(blk 312),1.36476465177918,103.894218784179,2,3,8,03/12/2021,12
1,hougang avenue 5(blk 313),1.36178377081648,103.894329368473,2,3,8,03/12/2021,12
2,hougang avenue 5(blk 314),1.34299777407959,103.755158102193,2,3,8,03/12/2021,12
1,hougang avenue 7(blk 316),1.34306435513309,103.75567762679,2,3,8,03/12/2021,12
1,bukit batok street 24(blk 291b),1.34351790618134,103.755391787516,3,1,6,03/12/2021,12
2,bukit batok street 24(blk 291c),1.38473082499962,103.872091757629,3,1,6,03/12/2021,12
3,bukit batok street 24(blk 291d),1.3299309852802,103.874182431008,3,1,6,03/12/2021,12
3,jalan hock chye,1.3847603423548,103.893939092139,4,2,6,03/12/2021,12
1,jalan teliti,1.32843458753058,103.871326151756,4,2,6,03/12/2021,12
2,tampines road,1.33946114326104,103.697110638396,4,2,6,03/12/2021,12
3,jalan kenarah,1.35937034964577,103.892587549209,5,3,6,03/12/2021,12
3,kelulut hill,1.30651406379174,103.794222994827,5,3,6,03/12/2021,12
1,jalan wangi,1.30743411126247,103.792897574712,6,3,5,03/12/2021,12
2,macpherson road,1.39825531783982,103.904753996381,6,3,5,03/12/2021,12
2,mulberry avenue,1.33085877715967,103.874957436624,6,3,5,03/12/2021,12
1,jurong west street 61(blk 646),1.32817733374331,103.886486362837,7,2,3,03/12/2021,12
1,jurong west street 61(blk 650a),1.33801867728359,103.696904315506,7,2,3,03/12/2021,12
1,jurong west street 61(blk 650b),1.36355650607885,103.883935704039,7,2,3,03/12/2021,12
2,circuit road(blk 37),1.39883318313425,103.905783553043,8,2,2,03/12/2021,12
1,edgefield plains(blk 103a),1.33799830622318,103.696320084561,9,2,2,03/12/2021,12
1,punggol field(blk 102a),1.35887020526725,103.956331658876,9,2,2,03/12/2021,12
1,holland avenue(blk 8),1.35954027648641,103.956108837804,10,1,2,03/12/2021,12
1,holland drive(blk 43),1.33106490794624,103.689456689759,10,1,2,03/12/2021,12
2,hougang avenue 3(blk 248),1.35955573760558,103.889080209652,11,2,2,03/12/2021,12
1,tampines avenue 9(blk 499b),1.33720789527235,103.785697142141,12,1,2,03/12/2021,12
1,tampines avenue 9(blk 499c),1.33673935083253,103.782820735846,12,1,2,03/12/2021,12
2,ubi road 1,1.3604092802175,103.888682908353,13,1,2,03/12/2021,12
2,upper serangoon cresent(blk 473a),1.33839490298888,103.784011404309,14,2,2,03/12/2021,12
4,denham close,1.34013836909782,103.779976424044,1,2,132,10/03/2022,3
28,dunearn road(the blossomvale),1.34086247224063,103.781252393366,1,2,132,10/03/2022,3
1,hua guan avenue,1.38393973679019,103.87353277559,1,2,132,10/03/2022,3
8,jalan bangket,1.33966394889275,103.780568782316,1,2,132,10/03/2022,3
3,jalan bingka,1.34086440329442,103.782422999424,1,2,132,10/03/2022,3
1,jalan gaharu,1.34059275141039,103.779559434044,1,2,132,10/03/2022,3
1,jalan keria,1.35385300927549,103.78825952953,1,2,132,10/03/2022,3
5,jalan wajek,1.33737154304539,103.78384945686,1,2,132,10/03/2022,3
44,rifle range road,1.34440319329816,103.768395045596,1,2,132,10/03/2022,3
21,wajek walk,1.34199826014157,103.775407350544,1,2,132,10/03/2022,3
12,wilmonar avenue,1.33926090576913,103.781112040455,1,2,132,10/03/2022,3
4,yarwood avenue,1.34502932055631,103.76800045525,1,2,132,10/03/2022,3
6,chun tin road,1.3372951848281,103.78431518037,2,24,82,10/03/2022,3
31,de souza avenue,1.34569360134293,103.769862628576,2,24,82,10/03/2022,3
5,jalan jurong kechil,1.34443545663216,103.769846922912,2,24,82,10/03/2022,3
3,jalan jurong kechil(charisma view),1.34325197039184,103.767733110112,2,24,82,10/03/2022,3
4,jalan jurong kechil(sherwood condominium),1.34554952442573,103.768144066626,2,24,82,10/03/2022,3
11,jalan jurong kechil(the hillford),1.34330642786718,103.768846834849,2,24,82,10/03/2022,3
1,jalan layang layang,1.34326986460541,103.769189383043,2,24,82,10/03/2022,3
3,jalan rajawali(grand chateau),1.34386088362378,103.768589874738,2,24,82,10/03/2022,3
1,jalan rajawali(grand regency),1.34295026529862,103.768245398461,2,24,82,10/03/2022,3
1,jalan rajawali(palm residence),1.34326986460541,103.769189383043,2,24,82,10/03/2022,3
1,jalan rajawali(regis mansions),1.34052381589455,103.767183437802,2,24,82,10/03/2022,3
3,jalan selantingselantinggreen),1.31423284539755,103.783232610158,2,24,82,10/03/2022,3
1,lorong pisang emas,1.31250640626748,103.782747099024,2,24,82,10/03/2022,3
6,toh tuck road(signature park),1.42650825575037,103.796181949046,2,24,82,10/03/2022,3
5,yuk tong avenue,1.3422866369732,103.773650566483,2,24,82,10/03/2022,3
52,woodlands drive 17,1.34228021755455,103.775055813408,3,30,52,10/03/2022,3
3,grove drive,1.31461476672549,103.78143191715,4,23,45,10/03/2022,3
1,holland grove drive,1.31411312901179,103.780249286696,4,23,45,10/03/2022,3
12,holland grove road,1.31912691619358,103.781969234572,4,23,45,10/03/2022,3
1,holland grove view,1.31519248013843,103.782782232318,4,23,45,10/03/2022,3
1,holland grove walk,1.31799391483554,103.782871358654,4,23,45,10/03/2022,3
2,jalan kebaya,1.31667646178347,103.784296227747,4,23,45,10/03/2022,3
2,moonbeam drive,1.31572113397678,103.782016937948,4,23,45,10/03/2022,3
11,moonbeam terrace,1.34713474066852,103.770939376989,4,23,45,10/03/2022,3
2,mount sinai crescent,1.31546098136224,103.784710113108,4,23,45,10/03/2022,3
4,mount sinai drive,1.3078371174284,103.763593736689,4,23,45,10/03/2022,3
6,mount sinai lane,1.44811106836686,103.793581117983,4,23,45,10/03/2022,3
2,chun tin road,1.3372951848281,103.78431518037,5,15,44,10/03/2022,3
1,upper bukit timah view,1.30897047389239,103.762012898173,5,15,44,10/03/2022,3
31,upper bukit timah view(bukit regency),1.36573055785801,103.862098359582,5,15,44,10/03/2022,3
10,yuk tong avenue,1.3422866369732,103.773650566483,5,15,44,10/03/2022,3
1,woodlands industrial park e2,1.45202506034016,103.793946079361,6,1,34,10/03/2022,3
33,woodlands industrial park e4,1.34713474066852,103.770939376989,6,1,34,10/03/2022,3
13,jalan mas kuning,1.35930425715982,103.862811656404,7,3,22,10/03/2022,3
1,jalan mas puteh,1.30873337321018,103.764726155757,7,3,22,10/03/2022,3
2,mas kuning terrace,1.36002845030959,103.86055497944,7,3,22,10/03/2022,3
6,taman mas merah,1.30824930877094,103.764903536904,7,3,22,10/03/2022,3
18,kranji road,1.33276527130312,103.902675780641,8,9,18,10/03/2022,3
2,berwick drive,1.35886537664094,103.862500359906,9,7,17,10/03/2022,3
1,blandford drive,1.33698149844588,103.769107734287,9,7,17,10/03/2022,3
8,braemar drive,1.33559320706152,103.768292046444,9,7,17,10/03/2022,3
5,brockhampton drive,1.33692436513775,103.903524603841,9,7,17,10/03/2022,3
1,corfe place,1.33718283330806,103.768057885556,9,7,17,10/03/2022,3
15,kaki bukit industrial terrace,1.33645990991898,103.768906484256,10,3,17,10/03/2022,3
2,kaki bukit road 1,1.44975230886478,103.791949937781,10,3,17,10/03/2022,3
3,eng kong crescent,1.33855314993997,103.771497314858,11,13,16,10/03/2022,3
2,eng kong garden,1.45933239084628,103.80657939759,11,13,16,10/03/2022,3
2,eng kong road,1.45140280432158,103.803842821192,11,13,16,10/03/2022,3
6,eng kong terrace,1.45102884751148,103.780200466877,11,13,16,10/03/2022,3
3,lorong kismis,1.44994270251126,103.791982387703,11,13,16,10/03/2022,3
1,senoko south road,1.34732433078393,103.890687115542,12,5,14,10/03/2022,3
6,woodlands sector 1,1.3542003868661,103.895191493305,12,5,14,10/03/2022,3
2,woodlands terrace,1.31987664656565,103.781130442617,12,5,14,10/03/2022,3
5,woodlands walk,1.31563879817135,103.782403081503,12,5,14,10/03/2022,3
9,admiralty road west,1.31883062174833,103.777606982008,13,1,9,10/03/2022,3
7,woodlands industrial park e5,1.31901828884647,103.779333675919,14,3,7,10/03/2022,3
1,defu avenue 1,1.36660045321147,103.855578790668,15,4,6,10/03/2022,3
2,defu lane 9,1.3662010408294,103.857200967235,15,4,6,10/03/2022,3
3,defu lane 10,1.36747901420817,103.855967139125,15,4,6,10/03/2022,3
4,holland road(allsworth park),1.38254440693121,103.826720606732,16,1,6,10/03/2022,3
1,pandan valley(bauhinia terrace),1.42801904350872,103.793053953282,16,1,6,10/03/2022,3
1,pandan valley(eugenia court),1.36817376241157,103.857520553516,16,1,6,10/03/2022,3
1,ang mo kio avenue 10(blk 444),1.42766679871283,103.794643990954,17,1,5,10/03/2022,3
1,ang mo kio avenue 10(blk 447),1.42970406750651,103.793970297136,17,1,5,10/03/2022,3
2,ang mo kio avenue 10(blk 465),1.36790849360635,103.84771408812,17,1,5,10/03/2022,3
1,ang mo kio street 44(blk 455a),1.36706933818888,103.847902498352,17,1,5,10/03/2022,3
5,tagore lane,1.32162720092152,103.823497961309,18,1,5,10/03/2022,3
1,woodlands drive 16(blk 541),1.36837474759489,103.849151113749,19,4,5,10/03/2022,3
1,woodlands drive 16(blk 546),1.36797705108684,103.849264839398,19,4,5,10/03/2022,3
1,woodlands drive 16(blk 588),1.3325814400579,103.880980331304,19,4,5,10/03/2022,3
2,woodlands drive 17,1.34228021755455,103.775055813408,19,4,5,10/03/2022,3
1,ang mo kio avenue 3(blk 323),1.33231921504256,103.880353125843,20,2,4,10/03/2022,3
1,ang mo kio avenue 3(blk 326),1.3450040798895,103.705331464969,20,2,4,10/03/2022,3
1,ang mo kio avenue 3(blk 343),1.33282076143466,103.879083831098,20,2,4,10/03/2022,3
1,ang mo kio avenue 3(blk 344),1.45210753299869,103.805229219819,20,2,4,10/03/2022,3
4,dunearn road,1.34948340124159,103.694556118022,21,3,4,10/03/2022,3
1,jalan hiboran,1.34600218842428,103.70418922292,22,4,4,10/03/2022,3
1,jalan kemajuan,1.34486489552662,103.703395356177,22,4,4,10/03/2022,3
1,jalan muhibbah,1.33831328062897,103.902069230502,22,4,4,10/03/2022,3
1,jalan mulia,1.33106490794624,103.689456689759,22,4,4,10/03/2022,3
1,jurong west central 1(blk 680b),1.35870641148835,103.89361060882,23,3,4,10/03/2022,3
2,jurong west street 64(blk 676b),1.32980527571515,103.695911616257,23,3,4,10/03/2022,3
1,jurong west street 64(blk 678d),1.33162922982743,103.696102033442,23,3,4,10/03/2022,3
1,jurong west street 81(blk 864),1.3301133769006,103.870903929958,24,3,4,10/03/2022,3
3,jurong west street 81(blk 866),1.38092680230382,103.748559601544,24,3,4,10/03/2022,3
4,kaki bukit road 3,1.35057364770509,103.695465764302,25,3,4,10/03/2022,3
1,kian teck crescent,1.34386088362378,103.768589874738,26,2,4,10/03/2022,3
2,kian teck drive,1.33419193367473,103.758845576093,26,2,4,10/03/2022,3
1,kian teck way,1.41467122566685,103.895761916977,26,2,4,10/03/2022,3
1,kwong avenue,1.33781826306472,103.77051775048,27,3,4,10/03/2022,3
1,phuay hee avenue,1.33583470103276,103.748281616371,27,3,4,10/03/2022,3
2,siak kew avenue,1.44409699510211,103.80040459108,27,3,4,10/03/2022,3
1,lorong kismis,1.44994270251126,103.791982387703,28,4,4,10/03/2022,3
2,toh tuck road,1.44554843131894,103.799404524681,28,4,4,10/03/2022,3
1,toh yi road,1.44435697271584,103.799119701865,28,4,4,10/03/2022,3
4,north coast avenue,1.44537252441166,103.798967848103,29,3,4,10/03/2022,3
4,seletar north link,1.36194304732652,103.830183411155,30,4,4,10/03/2022,3
4,toh guan road east,1.32500585270826,103.93295435009,31,4,4,10/03/2022,3
1,woodlands avenue 6(blk 722),1.32499916612366,103.934234380089,32,3,4,10/03/2022,3
1,woodlands avenue 6(blk 723),1.3366395590937,103.921284387946,32,3,4,10/03/2022,3
1,woodlands avenue 6(blk 725),1.33270677768836,103.88155221698,32,3,4,10/03/2022,3
1,woodlands circle(blk 721),1.32569973464369,103.931074627428,32,3,4,10/03/2022,3
3,angklong lane(faber garden condominium),1.34572728320792,103.711027373165,33,3,3,10/03/2022,3
1,bedok central(blk 219),1.33679206446803,103.921982613627,34,2,3,10/03/2022,3
1,bedok central(blk 221c),1.33856345031166,103.779679697449,34,2,3,10/03/2022,3
1,new upper changi road(blk 208),1.31008429629945,103.8707782715,34,2,3,10/03/2022,3
1,bedok reservoir crescent(blk 747a),1.34312287117249,103.767570144738,35,3,3,10/03/2022,3
2,bedok reservoir crescent(blk 747c),1.31304113579468,103.885713201642,35,3,3,10/03/2022,3
1,boon lay avenue(blk 186),1.33772750116803,103.780072604798,36,3,3,10/03/2022,3
1,boon lay drive(blk 188),1.31644975474134,103.832130325138,36,3,3,10/03/2022,3
1,boon lay drive(blk 191),1.34376568912059,103.712164032913,36,3,3,10/03/2022,3
2,dunearn road(gardenvista),1.34556066137177,103.764302214945,37,3,3,10/03/2022,3
1,dunearn road(jardin),1.32873209080211,103.693800439232,37,3,3,10/03/2022,3
2,geylang road,1.35162442643015,103.884447871485,38,2,3,10/03/2022,3
1,lorong 28 geylang,1.3367663870581,103.90494102192,38,2,3,10/03/2022,3
1,jalan kakatua,1.44449167947734,103.791966942875,39,3,3,10/03/2022,3
2,jalan merbok,1.3522311107755,103.884240123623,39,3,3,10/03/2022,3
3,kaki bukit avenue 3,1.33362172764796,103.941297342188,40,3,3,10/03/2022,3
3,kian teck avenue,1.44448968447959,103.792643075252,41,3,3,10/03/2022,3
2,lorong ah soo(blk 138),1.38811525760851,103.866609163291,42,3,3,10/03/2022,3
1,lorong ah soo(blk 139),1.33933394041963,103.767330021841,42,3,3,10/03/2022,3
2,toh tuck road,1.44554843131894,103.799404524681,43,3,3,10/03/2022,3
1,toh tuck road(the beverly),1.33386999449984,103.94205674836,43,3,3,10/03/2022,3
2,woodlands street 82(blk 880),1.38757752356947,103.863804004966,44,3,3,10/03/2022,3
1,woodlands street 82(blk 881),1.40134655668703,103.745990615944,44,3,3,10/03/2022,3
1,bedok north avenue 4(blk 94d),1.40089907208214,103.744889705072,45,2,2,10/03/2022,3
1,bedok north avenue 4(blk 95),1.32995304307557,103.870345790419,45,2,2,10/03/2022,3
1,begonia drive,1.31561098869751,103.906049579061,46,2,2,10/03/2022,3
1,dedap road,1.31333241479016,103.899812758346,46,2,2,10/03/2022,3
1,choa chu kang crescent(blk 675),1.44654348385282,103.791383739642,47,2,2,10/03/2022,3
1,choa chu kang street 62(blk 615),1.3337138280505,103.845233136341,47,2,2,10/03/2022,3
2,geylang road,1.35162442643015,103.884447871485,48,2,2,10/03/2022,3
1,joo chiat place,1.33335004690133,103.844102860065,49,2,2,10/03/2022,3
1,lorong h telok kurau,1.3728276965341,103.722414544985,49,2,2,10/03/2022,3
1,lorong 1 toa payoh(blk 153a),1.28499476957909,103.818758492626,50,2,2,10/03/2022,3
1,lorong 1 toa payoh(oleander towers),1.44643784156419,103.81885853477,50,2,2,10/03/2022,3
2,old choa chu kang road,1.43212667045772,103.75536543829,51,2,2,10/03/2022,3
2,penjuru place,1.44509125244238,103.81807503418,52,1,2,10/03/2022,3
2,redhill close(blk 90),1.31581802950221,103.734997961872,53,2,2,10/03/2022,3
1,sembawang close(blk 320),1.32925623900667,103.979681515394,54,2,2,10/03/2022,3
1,sembawang close(blk 323),1.44259053811125,103.798580788565,54,2,2,10/03/2022,3
2,tanah merah coast road,1.44257449085255,103.803594082133,55,2,2,10/03/2022,3
1,woodlands circle(blk 729),1.44084734957997,103.799421965632,56,2,2,10/03/2022,3
1,woodlands drive 70(blk 717),1.32643266298531,103.893626872544,56,2,2,10/03/2022,3
1,woodlands drive 72(blk 794),1.44411840891704,103.804444768882,57,2,2,10/03/2022,3
1,woodlands drive 72(woodsvale),1.42547005593325,103.824969746542,57,2,2,10/03/2022,3
4,kaki bukit industrial terrace,1.33645990991898,103.768906484256,1,3,35,08/03/2021,3
31,kaki bukit road 3,1.35057364770509,103.695465764302,1,3,35,08/03/2021,3
6,goodlink park,1.38159451793256,103.885209972539,2,18,32,08/03/2021,3
8,jalan mata ayer,1.42756202366437,103.826112602001,2,18,32,08/03/2021,3
16,jalan mata ayer(euphony gardens),1.42690781299771,103.826051896017,2,18,32,08/03/2021,3
1,sembawang road,1.38168746675049,103.884323802695,2,18,32,08/03/2021,3
1,sembawang rd(sembawang cottage),1.33524663662577,103.885008398598,2,18,32,08/03/2021,3
16,kian teck avenue,1.44448968447959,103.792643075252,3,8,28,08/03/2021,3
2,kian teck crescent,1.34386088362378,103.768589874738,3,8,28,08/03/2021,3
3,kian teck drive,1.33419193367473,103.758845576093,3,8,28,08/03/2021,3
7,kian teck lane,1.33288454818427,103.695319233839,3,8,28,08/03/2021,3
1,toh yi drive(blk 4),1.33820236785945,103.774522626293,4,6,28,08/03/2021,3
1,toh yi drive(blk 5),1.33881019635958,103.883036330141,4,6,28,08/03/2021,3
6,toh yi drive(blk 6),1.3385120672333,103.774569823527,4,6,28,08/03/2021,3
20,toh yi drive(blk 7),1.33777302768485,103.775130712626,4,6,28,08/03/2021,3
1,burn road,1.3061133465565,103.831970581812,5,9,27,08/03/2021,3
1,jalan bunga rampai(oasis garden),1.33737314445096,103.775043151688,5,9,27,08/03/2021,3
2,joo seng road,1.33520143444299,103.878702994487,5,9,27,08/03/2021,3
23,shaw road,1.34420596596672,103.878178442455,5,9,27,08/03/2021,3
11,how sun drive,1.34340886402757,103.881033504281,6,6,23,08/03/2021,3
11,how sun walk,1.29936480411316,103.848687419363,6,6,23,08/03/2021,3
1,lorong how sun,1.30262568101808,103.853415443436,6,6,23,08/03/2021,3
15,bencoolen street,1.36789986956821,103.846887401387,7,8,16,08/03/2021,3
1,zubir said drive,1.3326787108416,103.879504003061,7,8,16,08/03/2021,3
1,ang mo kio avenue 3(blk 301),1.38821172789787,103.897870950542,8,3,9,08/03/2021,3
1,ang mo kio avenue 3(blk 324),1.38743807067892,103.896932112772,8,3,9,08/03/2021,3
1,ang mo kio avenue 3(blk 325),1.36742112526427,103.845903587276,8,3,9,08/03/2021,3
2,ang mo kio avenue 3(blk 326),1.3450040798895,103.705331464969,8,3,9,08/03/2021,3
1,ang mo kio avenue 3(blk 329),1.33322916261221,103.878995584117,8,3,9,08/03/2021,3
1,ang mo kio avenue 3(blk 343),1.33282076143466,103.879083831098,8,3,9,08/03/2021,3
2,ang mo kio avenue 3(blk 346),1.32114327931913,103.911808337852,8,3,9,08/03/2021,3
3,compassvale lane(blk 206b),1.36709586875167,103.84966230288,9,2,9,08/03/2021,3
5,compassvale walk(blk 223c),1.36659908629034,103.846874419073,9,2,9,08/03/2021,3
1,compassvale walk(blk 224b),1.36833392201705,103.846879231399,9,2,9,08/03/2021,3
1,jalan gembira,1.42612488910141,103.827512567263,10,1,6,08/03/2021,3
1,jalan kemajuan,1.34486489552662,103.703395356177,10,1,6,08/03/2021,3
1,jalan setia,1.38871268226762,103.89775620823,10,1,6,08/03/2021,3
3,macpherson road,1.39825531783982,103.904753996381,10,1,6,08/03/2021,3
6,lorong mydin(astoria park),1.42638911318203,103.826910837812,11,2,6,08/03/2021,3
3,yishun street 71(blk 715),1.303787443937,103.800385265974,12,4,5,08/03/2021,3
2,yishun street 71(blk 716),1.30438425657259,103.79934984603,12,4,5,08/03/2021,3
1,commonwealth close(blk 81),1.30488634425758,103.79918156237,13,4,4,08/03/2021,3
2,commonwealth close(blk 86),1.31277604580511,103.882455638462,13,4,4,08/03/2021,3
1,commonwealth close(blk 88),1.31616810157098,103.889561883558,13,4,4,08/03/2021,3
1,geylang road,1.35162442643015,103.884447871485,14,4,4,08/03/2021,3
1,lorong 22 geylang,1.34153247772335,103.705669897207,14,4,4,08/03/2021,3
1,lorong 23 geylang,1.37801437708806,103.76920520215,14,4,4,08/03/2021,3
